"吴伟业","明末清初","","",""
"钱谦益","明末清初","","",""
"徐石麒","明末清初","","",""
"尤侗","明末清初","","",""
"方以智","明末清初","","",""
"吴静婉","明末清初","","",""
"张岱","明末清初","","",""
"李开先","明末清初","","",""
"沈泓","明末清初","","",""
"郑成功","明末清初","","",""
"方维仪","明末清初","","",""
"计东","明末清初","","",""
"纪映淮","明末清初","","",""
"吴嘉纪","明末清初","","",""
"陈恭尹","明末清初","","",""
"屈大均","明末清初","","",""
"施闰章","明末清初","","",""
"龚鼎孳","明末清初","","",""
"董以宁","明末清初","","",""
"李清","明末清初","","",""
"唐汝询","明末清初","","",""
"胡潜","明末清初","","",""
"张凤翔","明末清初","","",""
"唐泰","明末清初","","",""
"杨士聪","明末清初","","",""
"万寿祺","明末清初","","",""
"钱继章","明末清初","","",""
"方大猷","明末清初","","",""
"黄周星","明末清初","","",""
"周世臣","明末清初","","",""
"金俊明","明末清初","","",""
"朱一是","明末清初","","",""
"钱棻","明末清初","","",""
"王泰际","明末清初","","",""
"沈龙","明末清初","","",""
"归庄","明末清初","","",""
"沈谦","明末清初","","",""
"李标","明末清初","","",""
"魏允楠","明末清初","","",""
"胡介","明末清初","","",""
"俞汝言","明末清初","","",""
"李炜","明末清初","","",""
"王翃","明末清初","","",""
"杜浚","明末清初","","",""
"纪映钟","明末清初","","",""
"韩纯玉","明末清初","","",""
"霍达","明末清初","","",""
"刘碧","明末清初","","",""
"瞿寄安","明末清初","","",""
"商景兰","明末清初","","",""
"李玉照","明末清初","","",""
"吴朏","明末清初","","",""
"王毓贞","明末清初","","",""
"曙光","明末清初","","",""
"沙宛在","明末清初","","",""
"彭孙贻","明末清初","","",""
"李因","明末清初","","",""
"陈子升","明末清初","","",""
"钱肃图","明末清初","","",""
"高宇泰","明末清初","","",""
"李文缵","明末清初","","",""
"董剑锷","明末清初","","",""
"魏际瑞","明末清初","","",""
"曾灿","明末清初","","",""
"恽日初","明末清初","","",""
"刘逢源","明末清初","","",""
"冷士嵋","明末清初","","",""
"李邺嗣","明末清初","","",""
"王猷定","明末清初","","",""
"曹溶","明末清初","","",""
"王铎","明末清初","","",""
"彭而述","明末清初","","",""
"梁清标","明末清初","","",""
"马鸣萧","明末清初","","",""
"董文骥","明末清初","","",""
"程可则","明末清初","","",""
"刘体仁","明末清初","","",""
"王揆","明末清初","","",""
"王撰","明末清初","","",""
"潘高","明末清初","","",""
"陆典","明末清初","","",""
"徐夜","明末清初","","",""
"韩疆","明末清初","","",""
"高俨","明末清初","","",""
"盛符升","明末清初","","",""
"徐倬","明末清初","","",""
"刘献廷","明末清初","","",""
"张实居","明末清初","","",""
"吴殳","明末清初","","",""
"许旭","明末清初","","",""
"顾湄","明末清初","","",""
"汪琬","明末清初","","",""
"顾景星","明末清初","","",""
"张大受","明末清初","","",""
"胡瑗","明末清初","","",""
"黄幼藻","明末清初","","",""
"王夫之","明末清初","","",""
"卢若腾","明末清初","","",""
"施琅","明末清初","","",""
"徐孚远","明末清初","","",""
"王忠孝","明末清初","","",""
"郑经","明末清初","","",""
"孙之獬","明末清初","","",""
"孙奇逢","明末清初","","",""
"范士楫","明末清初","","",""
"杜越","明末清初","","",""
"朱用纯","明末清初","","",""
"易奇际","明末清初","","",""
"王邦畿","明末清初","","",""
"王鸣雷","明末清初","","",""
"邝露","明末清初","","",""
"张穆","明末清初","","",""
"何巩道","明末清初","","",""
"刘蓼雪","明末清初","","",""
"丁文瑗","明末清初","","",""
"吴芳植","明末清初","","",""
"黄媛介","明末清初","","",""
"顾媚","明末清初","","",""
"方拱乾","明末清初","","",""
"陈之遴","明末清初","","",""
"周亮工","明末清初","","",""
"赵进美","明末清初","","",""
"孙廷铨","明末清初","","",""
"高珩","明末清初","","",""
"王崇简","明末清初","","",""
"杨思圣","明末清初","","",""
"冯溥","明末清初","","",""
"邓旭","明末清初","","",""
"卢纮","明末清初","","",""
"曾畹","明末清初","","",""
"吴光","明末清初","","",""
"褚篆","明末清初","","",""
"余思复","明末清初","","",""
"侯方域","明末清初","","",""
"冒襄","明末清初","","",""
"陆元泓","明末清初","","",""
"徐波","明末清初","","",""
"金人瑞","明末清初","","",""
"侯涵","明末清初","","",""
"毛会建","明末清初","","",""
"徐柯","明末清初","","",""
"吴炎","明末清初","","",""
"柴绍炳","明末清初","","",""
"陆圻","明末清初","","",""
"毛先舒","明末清初","","",""
"张丹","明末清初","","",""
"孙枝蔚","明末清初","","",""
"傅山","明末清初","","",""
"周筼","明末清初","","",""
"顾樵","明末清初","","",""
"恽格","明末清初","","",""
"顾彩","明末清初","","",""
"汪洋","明末清初","","",""
"高承埏","明末清初","","",""
"项兰贞","明末清初","","",""
"钱肃润","明末清初","","",""
"万树","明末清初","","",""
"张夏","明末清初","","",""
"黄家舒","明末清初","","",""
"谈迁","明末清初","","",""
"李元鼎","明末清初","","",""
"许楚","明末清初","","",""
"戴明说","明末清初","","",""
"傅扆","明末清初","","",""
"吴懋谦","明末清初","","",""
"蒋薰","明末清初","","",""
"顾枢","明末清初","","",""
"高世泰","明末清初","","",""
"华时亨","明末清初","","",""
"秦镛","明末清初","","",""
"王鉴","明末清初","","",""
"王永吉","明末清初","","",""
"顾宸","明末清初","","",""
"吕阳","明末清初","","",""
"张光纬","明末清初","","",""
"吴孔嘉","明末清初","","",""
